Date,Mean Soil Moisture,Minimum Soil Moisture,Maximum Soil Moisture,Variance of Soil Moistures
10-6-16,10.82628857073127,0.0,25.400115200000005,65.77553939117072
16-7-19,9.160577134028669,0.0,25.400115200000005,64.81280826666115
30-1-16,13.037585607446642,0.0,25.400115200000005,85.34976680046071
11-5-20,10.409179109824324,0.0,25.400115200000005,63.99125350431005
10-11-16,12.017215377183103,0.0,25.400115200000005,77.02453875388561
18-3-19,12.093325462089958,0.0,25.400115200000005,81.01605120418894
13-7-15,9.60039852016502,0.0,25.400115200000005,63.71844151567091
11-2-20,12.657381460667896,0.0,25.400115200000005,80.88575737567926
28-7-16,10.7531882279024,0.0,25.400115200000005,73.68862543869442
7-7-15,9.782465987027587,0.0,25.400115200000005,63.520844891857195
8-3-18,13.02201512428181,0.0,25.400115200000005,85.9036366391032
7-12-19,11.992878670287595,0.0,25.400115200000005,73.21060401965761
16-12-15,12.520520686757392,0.0,25.400115200000005,77.92680150683373
18-2-18,12.800667287463458,0.0,25.400115200000005,85.48468471767694
18-8-16,10.270652277110178,0.0,25.400115200000005,70.4014733866076
17-4-16,12.145300326188545,0.0,25.400115200000005,78.63051828556435
29-10-15,11.374258880467147,0.0,25.400115200000005,70.30166685019324
25-11-15,12.193046909289613,0.0,25.400115200000005,75.48519529314855
2-5-19,11.292584465480022,0.0,25.400115200000005,69.6628926203901
10-7-20,9.892397191956595,0.0,25.400115200000005,65.96918178628917
4-11-16,11.671601574648113,0.0,25.400115200000005,75.34881181415419
24-11-18,11.957014915139052,0.0,25.400115200000005,74.97056546424385
14-10-16,11.2061812538239,0.0,25.400115200000005,73.13908974225916
5-5-20,10.803641782171498,0.0,25.400115200000005,65.27483585231974
25-10-18,11.213026895177308,0.0,25.400115200000005,68.33966362868219
2-1-19,12.310944275552497,0.0,25.400115200000005,78.89838501745412
26-1-19,12.393594331640822,0.0,25.400115200000005,81.74910098152881
11-8-18,9.56937590875593,0.0,25.400115200000005,63.835384756884686
26-2-16,12.545410790578652,0.0,25.400115200000005,86.85984173869782
8-6-17,10.676564622072176,0.0,25.400115200000005,66.56872240179007
29-9-15,10.018477037169735,0.0,25.400115200000005,66.93244521650242
20-7-17,10.170856437343973,0.0,25.400115200000005,69.19156727292982
17-2-17,13.312895843663783,0.0,25.400115200000005,85.1743071804403
16-6-15,10.476209214300486,0.0,25.400115200000005,66.50132682303449
14-9-15,9.772082693910383,0.0,25.400115200000005,65.78519501715368
21-4-17,12.670627547131037,0.0,25.400115200000005,79.59087625879535
4-8-17,10.003920134951276,0.0,25.400115200000005,70.8172495045006
21-8-19,9.744934552763773,0.0,25.400115200000005,69.67934770930937
19-12-15,12.575511202161236,0.0,25.400115200000005,78.55006079313725
8-5-20,10.525543177031327,0.0,25.400115200000005,64.28143365046094
5-10-16,11.188615676637582,0.0,25.400115200000005,70.96337370117799
11-9-16,10.49206884983795,0.0,25.400115200000005,73.67356736518146
15-8-16,10.31370281439292,0.0,25.400115200000005,72.71524776424427
22-6-20,9.807833051410686,0.0,25.400115200000005,63.82997548980402
5-8-18,9.673769211902325,0.0,25.400115200000005,65.1583508920868
19-12-19,12.227914856382695,0.0,25.400115200000005,76.54698983139879
23-3-18,12.943207170245174,0.0,25.400115200000005,85.99255395999567
21-12-18,12.233930829319261,0.0,25.400115200000005,78.51548401744778
24-6-18,10.097036587362082,0.0,25.400115200000005,65.65232728562741
11-11-17,11.955291370314999,0.0,25.400115200000005,76.41829567931315
12-9-17,10.190802155404674,0.0,25.400115200000005,72.98273965265572
1-6-20,10.092005017371246,0.0,25.400115200000005,64.41019503903082
10-7-19,9.225970225015885,0.0,25.400115200000005,65.57780365087898
26-6-17,10.43193512271768,0.0,25.400115200000005,70.0190365738154
5-12-17,11.945701504145656,0.0,25.400115200000005,78.41276155034133
2-2-16,12.890456769196657,0.0,25.400115200000005,84.67176311130916
7-11-19,11.411700011174581,0.0,25.400115200000005,73.53690991601101
29-3-18,12.868259661290606,0.0,25.400115200000005,85.14901421063033
25-8-17,10.356423674335447,0.0,25.400115200000005,75.49249795274949
1-5-18,11.640603035009685,0.0,25.400115200000005,70.70152143130943
14-5-20,10.381652148817238,0.0,25.400115200000005,64.48646242018387
20-2-20,12.462219588937696,0.0,25.400115200000005,80.97393789174896
6-8-16,10.464353266519177,0.0,25.400115200000005,72.77980854317475
29-8-18,9.767453952854238,0.0,25.400115200000005,68.54217216903696
1-11-16,11.800113978061576,0.0,25.400115200000005,77.28443628651225
17-10-19,10.869559179497701,0.0,25.400115200000005,71.56766656905182
27-1-16,13.036794286776534,0.0,25.400115200000005,85.00825212629718
4-6-20,10.069434030054762,0.0,25.400115200000005,64.24086478601134
30-8-15,9.701877539309262,0.0,25.400115200000005,69.24804679933581
19-6-15,10.212112251004918,0.0,25.400115200000005,64.34941273721442
4-7-15,9.772173838212357,0.0,25.400115200000005,64.14619501132962
21-8-15,9.753040180730805,0.0,25.400115200000005,69.1777987987656
23-9-16,10.79908514540889,0.0,25.400115200000005,71.10385993337054
25-11-19,11.867580433867744,0.0,25.400115200000005,71.10226051421036
15-8-15,9.809795838389446,0.0,25.400115200000005,69.73670881374733
23-5-15,11.111158415545393,0.0,25.400115200000005,68.1837823913228
12-12-18,12.360345977736246,0.0,25.400115200000005,75.21337277012283
14-10-19,10.864149235704096,0.0,25.400115200000005,71.57786373075866
6-8-15,10.001694761538822,0.0,25.400115200000005,70.27998684807498
7-1-18,12.348580857685592,0.0,25.400115200000005,82.92624476167656
31-12-15,12.6096792382349,0.0,25.400115200000005,80.17784623796624
29-4-15,11.870260562009006,0.0,25.400115200000005,71.03288039451441
13-2-19,12.658102221974607,0.0,25.400115200000005,83.49865437913729
14-5-15,11.520150631827711,0.0,25.400115200000005,68.86125001101954
23-5-20,10.247234319349548,0.0,25.400115200000005,62.87703519439118
23-2-17,13.408861987874602,0.0,25.400115200000005,87.77794922673769
26-4-15,12.25444197084257,0.0,25.400115200000005,74.48554380748222
2-4-19,11.97212441823164,0.0,25.400115200000005,77.29440861549635
17-1-19,12.45221257963051,0.0,25.400115200000005,83.28741668485645
16-4-18,12.628661628202416,0.0,25.400115200000005,78.32843891336108
8-4-16,12.30251306319779,0.0,25.400115200000005,80.09984168763829
8-4-15,13.056898043538272,0.0,25.400115200000005,79.02574871424602
6-4-17,12.784821281409327,0.0,25.400115200000005,80.08070867393741
26-8-18,9.74364093968337,0.0,25.400115200000005,66.8434593438356
14-8-18,9.656596695557774,0.0,25.400115200000005,64.97163282933627
17-3-18,12.904776916879374,0.0,25.400115200000005,85.59869765274611
30-3-16,12.600930413152053,0.0,25.400115200000005,82.71312467840062
10-6-15,10.552015810862459,0.0,25.400115200000005,64.62190744912654
19-7-19,9.196086702995498,0.0,25.400115200000005,65.58275277425467
13-6-15,10.54746354222877,0.0,25.400115200000005,65.64474187770513
14-2-16,12.31587231625148,0.0,25.400115200000005,86.6689715665806
30-9-17,10.79819687448209,0.0,25.400115200000005,71.82098763447193
5-9-16,10.484043195892955,0.0,25.400115200000005,71.46566022175618
29-6-17,10.655417308399572,0.0,25.400115200000005,72.55554904139485
3-9-17,10.179215151870796,0.0,25.400115200000005,73.0771379402114
7-11-16,11.906834517176588,0.0,25.400115200000005,76.79483334741172
23-4-15,12.46907188128977,0.0,25.400115200000005,77.31130092124843
11-5-16,11.773534942900934,0.0,25.400115200000005,69.54409573432643
14-9-19,9.671628977816527,0.0,25.400115200000005,68.26684868709917
25-7-15,9.797146278185188,0.0,25.400115200000005,67.0969684999283
14-4-15,12.786442432979463,0.0,25.400115200000005,77.55616346374373
8-10-19,10.596670976026738,0.0,25.400115200000005,72.09751821024263
5-5-15,11.76417516939874,0.0,25.400115200000005,70.95900581680205
13-12-16,12.774935290526901,0.0,25.400115200000005,81.05392290179346
22-7-16,10.840377868784005,0.0,25.400115200000005,73.07418511062785
17-9-19,9.647346022356217,0.0,25.400115200000005,68.148559851207
31-10-18,11.403683016401375,0.0,25.400115200000005,69.33819491322546
18-1-20,12.548915450285792,0.0,25.400115200000005,76.42990651075482
23-7-17,10.184117122615124,0.0,25.400115200000005,70.99113619800828
2-4-20,11.996664677936689,0.0,25.400115200000005,74.85976426234116
11-6-17,10.523130501396537,0.0,25.400115200000005,68.22472902054028
8-1-19,12.512981251087457,0.0,25.400115200000005,81.73506143067802
15-1-16,13.011336433425809,0.0,25.400115200000005,85.03572183588723
2-10-15,10.130204267653477,0.0,25.400115200000005,67.59440600873471
17-4-19,11.758052023173262,0.0,25.400115200000005,73.0304992028593
22-8-17,10.380853207894482,0.0,25.400115200000005,73.26195363059122
16-6-19,9.871452649959373,0.0,25.400115200000005,64.65725857918471
20-5-15,11.40399105920595,0.0,25.400115200000005,69.59595926984308
25-6-20,9.773276870956082,0.0,25.400115200000005,64.21479172405877
16-6-20,9.797178413395462,0.0,25.400115200000005,63.14612337467907
9-8-15,9.63205478701912,0.0,25.400115200000005,68.49412551470324
9-8-19,9.67191971326685,0.0,25.400115200000005,69.25049444288868
8-4-20,11.641300588548198,0.0,25.400115200000005,71.3466497649608
